doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC560,bn676-2012.txt,,,,1,,Bedrijfsreglementerings Ordonnantie 1934 (Staatsblad Tahun 1938 Nomor 86) sebagaimana telah diubah dan ditambah;,
DOC560,bn676-2012.txt,,,,17,,Keputusan Presiden Nomor 260 Tahun 1967 tentang Penegasan Tugas dan Tanggung Jawab Menteri Perdagangan Dalam Bidang Perdagangan Luar Negeri;,
DOC560,bn676-2012.txt,,,,18,,Keputusan Presiden Nomor 84/P Tahun 2009 tentang Pembentukan Kabinet Indonesia Bersatu II sebagaimana telah diubah dengan Keputusan Presiden Nomor 59/P Tahun 2011;,
DOC560,bn676-2012.txt,,,,19,,Peraturan Presiden Nomor 47 Tahun 2009 tentang Pembentukan dan Organisasi Kementerian Negara sebagaimana telah diubah beberapa kali terakhir dengan Peraturan Presiden Nomor 91 Tahun 2011;,
DOC560,bn676-2012.txt,,,,20,,"Peraturan Presiden Nomor 24 Tahun 2010 tentang Kedudukan, Tugas, dan Fungsi Kementerian Negara serta Susunan Organisasi, Tugas dan Fungsi Eselon I Kementerian Negara sebagaimana telah diubah beberapa kali terakhir dengan Peraturan Presiden Nomor 92 Tahun 2011;",
DOC560,bn676-2012.txt,,,,21,,Peraturan Menteri Pertanian Nomor 37/Kpts/HK.060/1/2006 tentang Persyaratan Teknis dan Tindakan Karantina Tumbuhan Untuk Pemasukan Buah-buahan dan/atau Sayuran Buah Segar ke Dalam Wilayah Negara Republik Indonesia sebagaimana telah diubah beberapa kali terakhir dengan Peraturan Menteri Pertanian Nomor 15/Permentan/OT.140/3/2012;,
DOC560,bn676-2012.txt,,,,22,,Peraturan Menteri Pertanian Nomor 18/Permentan/OT.140/2/2008 tentang Persyaratan Teknis dan Tindakan Karantina Tumbuhan Untuk Pemasukan Hasil Tumbuhan Hidup Berupa Sayuran Umbi Lapis Segar ke Dalam Wilayah Negara Republik Indonesia sebagaimana telah diubah beberapa kali terakhir dengan Peraturan Menteri Pertanian Nomor 16/Permentan/OT.140/3/2012;,
DOC560,bn676-2012.txt,,,,23,,Peraturan Menteri Pertanian Nomor 12/Permentan/OT.140/2/2009 tentang Persyaratan dan Tatacara Tindakan Karantina Tumbuhan Terhadap Pemasukan Kemasan Kayu ke Dalam Wilayah Negara Republik Indonesia;,
DOC560,bn676-2012.txt,,,,24,,Peraturan Menteri Perdagangan Nomor 54/M-DAG/PER/9/2009 tentang Ketentuan Umum di Bidang Impor;,
DOC560,bn676-2012.txt,,,,25,,Peraturan Menteri Perindustrian Nomor 24/M-IND/PER/2/2010 tentang Pencantuman Logo Tara Pangan dan Kode Daur Ulang Pada Kemasan Pangan Dari Plastik;,
DOC560,bn676-2012.txt,,,,26,,Peraturan Menteri Perdagangan Nomor 31/M-DAG/PER/7/2010 tentang Organisasi dan Tata Kerja Kementerian Perdagangan;,
DOC560,bn676-2012.txt,,,,27,,Peraturan Kepala Badan Pengawas Obat dan Makanan Nomor HK.03.1.23.07.11.6664 Tahun 2011 tentang Pengawasan Kemasan Pangan;,
DOC560,bn676-2012.txt,,,,28,,Peraturan Menteri Perdagangan Nomor 31/M-DAG/PER/10/2011 tentang Barang Dalam Keadaan Terbungkus;,
DOC560,bn676-2012.txt,,,,29,,Peraturan Menteri Pertanian Nomor 88/Permentan/PP.340/12/2011 tentang Pengawasan Keamanan Pangan Terhadap Pemasukan dan Pengeluaran Pangan Segar Asal Tumbuhan;,
DOC560,bn676-2012.txt,,,,30,,Peraturan Menteri Perdagangan Nomor 27/M-DAG/PER/5/2012 tentang Ketentuan Angka Pengenal Importir (API);,
DOC560,bn676-2012.txt,,,,31,,"Peraturan Menteri Perdagangan Nomor 30/M-DAG/PER/5/2012 tentang Ketentuan Impor Produk Hortikultura. Menetapkan: PERATURAN MENTERI PERDAGANGAN TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 30/M-DAG/PER/5/2012 TENTANG KETENTUAN IMPOR PRODUK HORTIKULTURA. **Pasal I** Ketentuan dalam Pasal 38 Peraturan Menteri Perdagangan Nomor 30/M-DAG/PER/5/2012 tentang Ketentuan Impor Produk Hortikultura diubah sebagai berikut: **Pasal 38** Peraturan Menteri ini mulai berlaku pada tanggal 28 September 2012 dan akan dievaluasi secara periodik. **Pasal II** Peraturan Menteri ini mulai berlaku pada tanggal ditetapkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, GITA IRAWAN WIRJAWAN Diundangkan di Jakarta pada tanggal 3 Juli 2012 MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, AMIR SYAMSUDIN",
