doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC641,bn882-2015.txt,,,,13,,Peraturan Presiden Nomor 42 Tahun 2002 tentang Pedoman Pelaksanaan Anggaran Pendapatan dan Belanja Negara sebagaimana telah diubah dengan Keputusan Presiden Nomor 72 Tahun 2004;,
DOC641,bn882-2015.txt,,,,14,,"Peraturan Presiden Nomor 112 Tahun 2007 tentang Penataan dan Pembinaan Pasar Tradisional, Pusat Perbelanjaan dan Toko Modern;",
DOC641,bn882-2015.txt,,,,15,,Peraturan Presiden Nomor 54 Tahun 2010 tentang Pengadaan Barang/Jasa Pemerintah sebagaimana telah diubah beberapa kali terakhir dengan Peraturan Presiden Nomor 70 Tahun 2012;,
DOC641,bn882-2015.txt,,,,16,,Keputusan Presiden Nomor 121/P Tahun 2014 tentang Pembentukan Kementerian dan Pengangkatan Menteri Kabinet Kerja Periode Tahun 2014-2019;,
DOC641,bn882-2015.txt,,,,17,,Peraturan Presiden Nomor 7 Tahun 2015 tentang Organisasi Kementerian Negara;,
DOC641,bn882-2015.txt,,,,18,,Peraturan Presiden Nomor 48 Tahun 2015 tentang Kementerian Perdagangan;,
DOC641,bn882-2015.txt,,,,19,,Peraturan Menteri Keuangan Nomor 156/PMK.07/2008 tentang Pedoman Pengelolaan Dana Dekonsentrasi dan Tugas Pembantuan sebagaimana telah diubah dengan Peraturan Menteri Keuangan Nomor 248/PMK.07/2010;,
DOC641,bn882-2015.txt,,,,20,,Peraturan Menteri Perdagangan Nomor 31/M-DAG/PER/7/2010 tentang Organisasi dan Tata Kerja Kementerian Perdagangan sebagaimana telah diubah dengan Peraturan Menteri Perdagangan Nomor 57/M-DAG/PER/8/2012;,
DOC641,bn882-2015.txt,,,,21,,Peraturan Menteri Perdagangan Nomor 42/M-DAG/PER/10/2010 tentang Pengelolaan Kegiatan Pembangunan dan Pengembangan Sarana Distribusi Melalui Dana Tugas Pembantuan;,
DOC641,bn882-2015.txt,,,,22,,Peraturan Menteri Perdagangan Nomor 48/M-DAG/PER/10/2010 tentang Pedoman Pembangunan dan Pengelolaan Sarana Distribusi Perdagangan;,
DOC641,bn882-2015.txt,,,,23,,"Peraturan Menteri Perdagangan Nomor 20/M-DAG/PER/3/2015 tentang Penugasan Gubernur atau Bupati/Wali Kota dalam Rangka Pelaksanaan Kegiatan Pembangunan/Revitalisasi Sarana Distribusi Perdagangan yang Didanai Melalui Dana Tugas Pembantuan Anggaran Pendapatan dan Belanja Negara Perubahan Tahun Anggaran 2015; Menetapkan: **PERATURAN MENTERI PERDAGANGAN TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 20/M-DAG/PER/3/2015 TENTANG PENUGASAN GUBERNUR ATAU BUPATI/WALI KOTA DALAM RANGKA PELAKSANAAN KEGIATAN PEMBANGUNAN/REVITALISASI SARANA DISTRIBUSI PERDAGANGAN YANG DIDANAI MELALUI DANA TUGAS PEMBANTUAN ANGGARAN PENDAPATAN DAN BELANJA NEGARA PERUBAHAN TAHUN ANGGARAN 2015.** **Pasal I** Lampiran I Peraturan Menteri Perdagangan Nomor 20/M-DAG/PER/3/2015 tentang Penugasan Gubernur atau Bupati/Wali Kota dalam Rangka Pelaksanaan Kegiatan Pembangunan/Revitalisasi Sarana Distribusi Perdagangan yang Didanai Melalui Dana Tugas Pembantuan Anggaran Pendapatan dan Belanja Negara Perubahan Tahun Anggaran 2015 diubah sehingga menjadi sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. **Pasal II** Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, RACHMAT GOBEL Diundangkan di Jakarta pada tanggal 11 Juni 2015 MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, YASONNA H. LAOLY",
